||
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
10113|2015|Toyota|Camry|car|Black|80000|15000.0
37847|2018|Chevrolet|Silverado|truck|Blue|50000|25000.0
44902|2019|Jeep|Wrangler|SUV|White|20000|35000.0
10114|2014|Honda|Accord|car|Gray|60000|12000.0
37848|2010|Toyota|Tacoma|truck|Green|90000|18000.0
44903|2017|Ford|Escape|SUV|Red|45000|20000.0
10115|2016|Subaru|Outback|SUV|Blue|70000|17000.0
37849|2013|Nissan|Altima|car|Black|75000|13000.0
44904|2018|Toyota|4Runner|SUV|Gray|30000|30000.0
10116|2011|Chevrolet|Malibu|car|White|85000|11000.0
37850|2019|Dodge|Charger|car|Red|40000|25000.0
44905|2015|Jeep|Grand Cherokee|SUV|Black|55000|28000.0
10117|2016|Ford|Fusion|car|Silver|70000|14000.0
37851|2012|GMC|Sierra|truck|White|100000|22000.0
44906|2018|Hyundai|Santa Fe|SUV|Gray|35000|24000.0
10118|2014|Jeep|Wrangler|SUV|Red|60000|27000.0
37852|2017|Toyota|Tundra|truck|Blue|50000|30000.0
44907|2013|Honda|Pilot|SUV|Black|80000|19000.0
10119|2015|Chevrolet|Cruze|car|Gray|65000|12000.0
37853|2018|Ford|Explorer|SUV|White|40000|32000.0
44908|2019|Nissan|Rogue|SUV|Red|25000|28000.0
10120|2016|Toyota|Camry|car|Black|70000|15000.0
37854|2011|Chevrolet|Silverado|truck|Black|90000|20000.0
44909|2014|Subaru|Forester|SUV|Blue|55000|22000.0
10121|2017|Honda|Accord|car|White|65000|16000.0
37855|2015|Jeep|Cherokee|SUV|Gray|60000|25000.0
44910|2012|Ford|F-150|truck|Red|80000|23000.0
